"""%s"" contains not only digit characters.","""%s"" não possui apenas caracteres numéricos."
"""%s"" does not fit the entered date format.","""%s"" não foi digitado em um formato de data valido."
"""%s"" exceeds the allowed file size.","""%s"" ultrapassa o tamanho de arquivo permitido."
"""%s"" exceeds the allowed length.","""%s"" ultrapassa o tamanho permitido."
"""%s"" has not only alphabetic and digit characters.","""%s"" não possui apenas caracteres alfanuméricos."
"""%s"" has not only alphabetic characters.","""%s"" não possui apenas caracteres alfabéticos."
"""%s"" height exceeds allowed value of %s px.","""%s"" ultrapassa altura permitida de %s px."
"""%s"" invalid type entered.","""%s"" digitação inválida."
"""%s"" is a required value.","""%s"" é um valor obrigatório."
"""%s"" is an empty string.","""%s"" é um valor vazio."
"""%s"" is not a valid URL.","""%s"" não é uma URL válida."
"""%s"" is not a valid date.","""%s"" não é uma data válida."
"""%s"" is not a valid email address.","""%s"" não é um Email válido."
"""%s"" is not a valid file","""%s"" não é um arquivo válido"
"""%s"" is not a valid file extension.","""%s"" não é uma extensão de arquivo válida."
"""%s"" is not a valid file.","""%s"" não é um arquivo válido."
"""%s"" is not a valid hostname.","""%s"" não é um nome de servidor válido."
"""%s"" is not a valid image format","""%s"" não é um formato de imagem válido"
"""%s"" length must be equal to or greater than %s characters.","""%s"" tamanho precisa ser igual ou maior que %s caracteres."
"""%s"" length must be less than or equal to %s characters.","""%s"" tamanho preciso ser menor ou igual à %s caracteres."
"""%s"" width exceeds allowed value of %s px.","""%s"" ultrapassa a largura permitida de  %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' parece ser um servidor DNS mas não foi possível extrair a parte TLD"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' parece ser um servidor DNS mas não foi encontrado um TLD na base de conhecimento"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' parece ser um servidor DNS mas não coincide com hostname schema para TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' parece ser um servidor DNS porém contém um dash em uma posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' parece ser um servidor DNS mas a notação punycode informada não pode ser decodificada"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' parece ser o nome de uma rede local porém não é um nome permitido"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' parece ser um endereço de IP, mas endereço de IP não é permitido"
"'%value%' does not appear to be a valid URI hostname","'%value%' não parece ser um servidor URI válido"
"'%value%' does not appear to be a valid local network name","'%value%' não parece ser um nome de rede local válido"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' não coincide com a estrutura esperada para um servidor DNS"
"* Required Fields","*Campos Obrigatórios"
"A new password has been sent.","Uma nova senha foi enviada."
"ALL GROUPS","TODOS OS GRUPOS"
"Account Dashboard","Painel Geral"
"Account Information","Informações de Conta"
"Account Sharing Options","Opções de Compartilhamento"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Confirme seu cadastro. Verifique o link enviado por Email. Para re-enviar o Email de confirmação <a href=""%s"">clique aqui</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Confirme seu cadastro. Verifique o link enviado para seu Email. Para re-enviar o Email de confirmação <a href=""%s"">clique aqui</a>."
"Action","Ação"
"Add New Address","Adicionar Endereço"
"Add New Customer","Criar Cliente"
"Add New Customer Group","Criar Grupo"
"Added From","Adicionado em"
"Additional Address Entries","Outros Endereços"
"Address","Endereços"
"Address Book","Meu Endereço"
"Address Books","Meus Endereços"
"Address Information","Informações de Endereço"
"Address Templates","Templates de Endereço"
"Addresses","Endereços"
"Admin","Admin"
"All","Todos"
"All Store Views","Todas as Visões"
"All countries","Todos os Países"
"Always optional.","Sempre opcional."
"Amount","Valor Pago"
"An error occurred while deleting the address.","Ocorreu um erro ao tentar excluir o endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao tentar recuperar o valor da opção: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro ao tentar salvar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Uma opção inválida de ID foi informada para %s (%s), ignorando registro."
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Deseja cancelar este endereço?"
"Are you sure you want to delete this address?","Deseja excluir este endereço?"
"Are you sure?","Você tem certeza?"
"Array of Entity collections is expected.","Array da coleção de entidades é esperado."
"Assign a Customer Group","Associar ao Grupo..."
"Attribute object is undefined","Atributo do objeto não é reconhecido"
"Average Sale","Venda Média"
"Back","Voltar"
"Back - link to the previously viewed page","Voltar - link para a página anterior"
"Back to Login","Voltar"
"Bad request.","Problemas."
"Bill to Name","Nome de Cobrança"
"Bought From","Comprados"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta em nossa loja, você será capaz de fechar pedidos com mais agilidade, cadastrar diversos endereços, acompanhar seus pedidos, entre outras vantagens."
"CSV","CSV"
"Cancel","Cancelar"
"Cannot save address.","Não foi possível salvar o endereço."
"Cannot save the customer.","Não foi possível salvar o cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Não foi possível compartilhar o cliente em uma conta global. Porque algumas contas de cliente usam o mesmo email em outros websites e isso impede a união."
"Change Account Password","Alterar Senha da Conta"
"Change Billing Address","Alterar Endereço de Cobrança"
"Change Password","Alterar Senha"
"Change Shipping Address","Alterar Endereço de Entrega"
"City","Cidade"
"Company","Profissão"
"Config","Config"
"Configure","Configurar"
"Confirm New Password","Confirmar Nova Senha"
"Confirm Password","Confirmar Senha"
"Confirmation Link Email","Email com Link de Confirmação"
"Confirmed","Confirmado"
"Contact Information","Informações de Contato"
"Continue Shopping","Continuar Comprando"
"Country","País"
"Create","Criar"
"Create New Account Options","Opções ao Criar Nova Conta"
"Create New Customer Account","Criar Nova Conta de Cliente"
"Create Order","Criar Pedido"
"Create an Account","Criar Conta"
"Create customer","Criar cliente"
"Create customer address","Criar endereço cliente"
"Current Password","Senha Atual"
"Customer","Cliente"
"Customer API","API Cliente"
"Customer Account Edit Form","Formulário de Edição p/ Conta de Cliente"
"Customer Account Login Form","Formulário de Login p/ Conta de Cliente"
"Customer Account Logout Success","Usuário Desconectado com Sucesso"
"Customer Account Registration Form","Formuláro de Cadastro p/ Conta de Cliente"
"Customer Addresses","Endereços do Cliente"
"Customer Configuration","Configurações"
"Customer Forgot Password Form","Formulário de Recuperação de Senha p/ Cliente"
"Customer Group","Grupo do Cliente"
"Customer Groups","Grupos de Clientes"
"Customer Information","Informações do Cliente"
"Customer Login","Login de Cliente"
"Customer My Account (All Pages)","Conta do Cliente (Todas as Páginas)"
"Customer My Account Address Book","Endereços Cadastrados na Conta do Cliente"
"Customer My Account Address Edit Form","Formulário de Edição de Endereços na Conta do Cliente"
"Customer My Account Dashboard","Painel Geral da Conta do Cliente"
"Customer Since","Cliente Desde"
"Customer View","Detalhes"
"Customer collection expected.","Coleção de cliente é esperado."
"Customer email is required.","Email do cliente é obrigatório."
"Customer website ID must be specified when using the website scope.","ID do website do cliente precisa ser informado, quando usar escopo website."
"Customer will stay on the current page if ""No"" is selected.","Cliente ficará na mesma página se ""Não"" for selecionado."
"Customers","Clientes"
"Customers Only","Apenas Clientes"
"Customers Section","Seção Clientes"
"DD","DD"
"Date","Data"
"Date Added","Adicionado na Data"
"Date of Birth","Data de Nascimento"
"Day","Dia"
"Days in Wishlist","Dias na Lista"
"Default Addresses","Endereço Principal"
"Default Billing Address","Endereço de Cobrança Principal"
"Default Email Domain","Domínio do Email Padrão"
"Default Group","Grupo Padrão"
"Default Shipping Address","Endereço de Entrega Principal"
"Default Welcome Email","Email Padrão de Boas-Vindas"
"Delete","Excluir"
"Delete Address","Excluir"
"Delete Customer","Excluir"
"Delete Customer Group","Excluir"
"Delete customer","Excluir"
"Delete customer address","Excluir"
"Deleted Stores","Excluir Lojas"
"Details","Detalhes"
"Disabled","Desabilitado"
"Edit","Editar"
"Edit Account Info","Editar Informações da Conta"
"Edit Account Information","Editar Dados de Acesso"
"Edit Address","Editar Endereço"
"Edit Address Entry","Editar Entrada de Endereço"
"Edit Customer Group ""%s""","Editar Grupo ""%s"""
"Edit Customer Groups","Editar Grupos"
"Edit Customer's Address","Editar Endereço dos Clientes"
"Edit Group","Editar Grupo"
"Edit Newsletters","Editar Newsletters"
"Email","Email"
"Email Address","Email"
"Email Sender","Remetente"
"Email:","Email:"
"Entity collection is expected.","Coleção de entidades é esperado."
"Entity instance is not defined","Instância da entidade não foi informado"
"Entity object is undefined","Objeto da entidade não reconhecido"
"Excel XML","Excel XML"
"Failed to confirm customer account.","Falha ao confirmar conta de cliente."
"Fax","Celular"
"First Name","Nome"
"Forgot Email Sender","Informe o Remetente de Email"
"Forgot Email Template","Informe o Modelo de Email"
"Forgot Your Password?","Esqueceu Sua Senha?"
"Form Fields Before","Primeiro Campos do Formulário"
"Form code is not defined","Código do Formulário não foi informado"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Aqui é possível ver um resumo das suas atividades e atualizar suas informações. Escolha um dos links abaixo para visualizar ou editar suas informações."
"Gender","Sexo"
"General Subscription","Assinatura Geral"
"Generate Human-Friendly Customer ID","Gerar ID Amigável p/ Cliente"
"Global","Todas as Lojas"
"Grand Total","Geral Total"
"Group","Grupo"
"Group Information","Informações de Grupo"
"Group Name","Nome"
"Guest","Visitante"
"HTML","HTML"
"Hello, %s!","Olá, %s!"
"ID","ID"
"IP Address","IP"
"If you have an account with us, please log in.","Se você já possui uma conta, informe os dados de acesso."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválido informado para o atributo %s (%s), ignorar registro."
