" "," "
" But cart has some errors."," Mas o carrinho possui alguns erros."
"""Description"" is more than %d characters long","""Descrição"" possui mais de %d caracteres"
"""Title"" is more than %d characters long","""Título"" possui mais de %d caracteres"
"%1$s has been added to your wishlist.","%1$s foi adicionado aos favoritos."
"%1$s incl tax.","%1$s incluindo imposto."
"%s API Key required.","%s Chave de API obrigatório."
"%s Application ID required.","%s ID da Aplicação obrigatório."
"%s Secret Key required.","%s Chave Secreta obrigatório."
"%s has been added to your cart.","%s foi adicionado no carrinho."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Possui mais países do que listado abaixo. Como proprietário do sistema, é sua responsabilidade cumprir com as leis específicas de cada país onde for distribuído ou vendido seu sistema, incluindo seu próprio país.)"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Um App Exclusivo de Catálogo não suporta funções como adicionar ao carrinho, favoritos, ou login."
"A new password has been sent.","Uma nova senha foi enviada."
"Account","Conta"
"Account confirmation is required. Please check your email for the confirmation link.","É preciso confirmar conta. Verifique seu Email e utilize o link de confirmação."
"Account information has been saved.","Informações de conta foram salvas."
"Action","Ação"
"Activate","Ativar"
"Activate PayPal Checkout","Ativar PayPal Checkout"
"Activation Key","Chave de Ativação"
"Add App","Adicionar App"
"Add New Template","Adicionar Novo Template"
"Add Page","Adicionar Página"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar aos Favoritos"
"Additional Address","Endereço Adicional"
"Additional Countries","Países Adicionais"
"Address","Endereço"
"Address 2","Endereço 2"
"Address data not specified.","Dados do endereço não informado."
"Address does not belong to this customer.","Endereço não pertence à este cliente."
"Address has been deleted.","Endereço foi excluido."
"Address has been saved.","Endereço foi salvo."
"Administrative contact for this app and for app submission issues.","Contato administrativo p/ este app e p/ envio de perguntas sobre o aplicativo."
"Advanced Settings","Opções Avançadas"
"After submitting the App, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href=""%2$s"" target=""_blank"">click here</a>.","Depois de enviar o App, entre em contato <a href=""mailto:%1$s"">%1$s</a> para receber a chave do aplicativo, Aplicativo Secreto e Aplicativo Ultra Secreto.<br />Com estas credenciais, preencha os campos correspondentes.<br />Além disso, aceite os termos de serviço do Urban Airships: <a href=""%2$s"" target=""_blank"">clicando aqui</a>."
"AirMail Message Queue","AirMail Fila de Mensagem"
"AirMail Messages Queue","AirMail Fila de Mensagens"
"AirMail Template Preview","AirMail Pré-Visualizar Template"
"AirMail message","AirMail mensagem"
"AirMail templates","AirMail templates"
"All locations","Todas localizações"
"An account with this email address already exists.","Já existe uma conta criada com este Email."
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar nos favoritos."
"An error occurred while deleting the address.","Ocorreu um erro ao excluir endereço."
"An error occurred while loading category filters.","Ocorreu um erro ao carregar os filtros de categoria."
"An error occurred while processing your order. Please contact us or try again later.","Ocorreu um erro ao processar seu pedido. Entre em contato ou tente novamente."
"An error occurred while processing your request.","Ocorreu um erro ao processar sua solicitação."
"An error occurred while removing item from wishlist.","Ocorreu um erro na tentativa de remover o produto dos favoritos."
"An error occurred while removing items from wishlist.","Ocorreu um erro na tentativa de remover os produtos dos favoritos."
"Analytics","Analytics"
"Android","Android"
"App Background","Background do App"
"App Background (landscape mode).","Background do App (paisagem)."
"App Background (portrait mode).","Background do App (retrato)."
"App Background <br />(landscape mode)","Background do App<br />(paisagem)"
"App Background <br />(portrait mode)","Background do App<br />(retrato)"
"App Background image missing.","Background do App faltando imagem."
"App Code","Código do App"
"App Information","Informação do App"
"App Name","Nome do App"
"App Stores","Lojas do App"
"App Submission History","Histórico de Envios do App"
"App Title","Título do App"
"App code required.","Código do App obrigatório."
"App does not exist.","App não existe."
"App has been deleted.","App foi excluido."
"App has been saved.","App foi salvo."
"App has been submitted.","App foi enviado."
"App model not loaded.","Modelo do App não carregado."
"App with specified code does not exist.","App não existe para o código informado."
"Appears in the info section of your app (example:  Copyright 2010 – Your Company, Inc.)","Aparece como informação do seu app (exemplo:  Copyright 2013 – Mario SAM, Inc.)"
"Application","Aplicativo"
"Application Key","Chave do Aplicativo"
"Application Master Secret","Ultra Segredo do Aplicativo"
"Application Name","Nome do Aplicativo"
"Application Secret","Segredo do Aplicativo"
"Apply will automatically resize this image for display in the App Store and on users’ devices.  A gloss (i.e. gradient) will also be applied, so you do not need to apply a gradient.  Image must be at least 512x512","Aplicar irá alterar automaticamente o tamanho das imagens na visualização do App Store e nos dispositivos dos usuários. Não é preciso aplicar efeitos de gradiente ou similares (isso é feito automaticamente pela Apple). Tamanho recomendado 512x512"
"Are you sure you whant to cancel a message?","Deseja realmente cancelar a mensagem?"
"Are you sure you whant to delete a message?","Deseja realmente exluir a mensagem?"
"Are you sure you what to cancel selected records?","Deseja realmente cancelar os registros selecionados?"
"Are you sure you what to delete selected records?","Deseja realmente excluir os registros selecionados?"
"Authentication complete.","Autenticação completa."
"Back","Voltar"
"Back to App Edit","Voltar à Editar App"
"Background Color","Cor de Fundo"
"Banner on Home Screen","Banner na Página Inicial"
"Banner on Home Screen image missing.","Banner na Página Inicial - faltando imagem."
"Billing address has been set.","Endereço do cobrança foi informado."
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s incluindo imposto) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Buyer country is not allowed by store.","País de origem do cliente não permitido pela loja."
"Cache Lifetime (seconds)","Ciclo de Vida do Cache (segundos)"
"Cache Management","Gerenciador de Cache"
"Can\'t add item to shopping cart.","Não foi possível adicionar o produto no carrinho."
"Can\'t apply the coupon code.","Não foi possível utilizar o cupom."
"Can\'t copy file ""%s"" to ""%s"".","Não foi possível copiar arquivo ""%s"" para ""%s""."
"Can\'t create wishlist.","Não foi possível criar favoritos."
"Can\'t load XML.","Não foi possível carregar XML."
"Can\'t load application with code ""%s""","Não foi possível carregar aplicativo com código ""%s"""
"Can\'t open submission form.","Não foi possível abrir formulário de envio."
"Can\'t read file ""%s"".","Não foi possível ler arquivo ""%s""."
"Can\'t remove the item.","Não foi possível remover o produto."
"Can\'t reset theme.","Não foi possível reiniciar o tema."
"Can\'t save address.","Não foi possível salvar endereço."
"Can\'t save the customer.","Não foi possível salvar o cliente."
"Can\'t save theme.","Não foi possível salvar o tema."
"Can\'t show configuration.","Não foi possível exibir configuração."
"Can\'t specify product.","Não foi possível especificar o produto."
"Can\'t submit application.","Não foi possível enviar o aplicativo."
"Can\'t update cart.","Não foi possível atualizar o carrinho."
"Can\'t write to file ""%s"".","Não foi possível escrever no arquivo ""%s""."
"Cancel","Cancelar"
"Canceled","Cancelado"
"Cancelled","Cancelado"
"Cannot load theme ""%s"".","Não foi possível carregar o tema ""%s""."
"Cannot save theme ""%s"". Incorrect data received","Não foi possível salvar o tema ""%s"". Dados recebidos incorretos"
"Card Verification Number","Número de Verificação do Cartão"
"Card verification number is wrong","Número de verificação do cartão não confere"
"Carrier","Transportadora"
"Cart","Carrinho"
"Cart has been updated.","Carrinho foi atualizado."
"Cart has some errors.","Carrinho possui alguns erros."
"Cart is empty.","Carrinho vazio."
"Catalog Only App?","Aplicativo Exclusivo Catálogo?"
"Category Button Color","Cor do Botão da Categoria"
"Category Item Background Color","Cor de Fundo do Item da Categoria"
"Chairs","Cadeiras"
"Change Orientation","Alterar Orientação"
"Change Password","Alterar Senha"
"Changes have been saved to theme.","As alterações do tema foram salvas."
"Checkout has been initialized.","Checkout foi inicializado."
"City","Cidade"
"Color Themes","Cores dos Temas"
"Colors","Cores"
"Company","Empresa"
"Completed","Completado"
"Confirm New Password","Confirmar Nova Senha"
"Confirm Password","Confirmar Senha"
"Contact Email","Email de Contato"
"Contact Information","Informações de Contato"
"Content","Conteúdo"
"Copyright","Copyright"
"Copyright Page Logo","Logo na Página de Copyright"
"Copyright Page Logo <br />(iPhone 4 retina)","Logo na Página de Copyright <br />(iPhone 4 retina)"
"Copyright page logo","Logo na página de Copyright"
"Country","País"
"Country options don\'t recognized for ""%s"".","Opções do País não foram reconhecidas para ""%s""."
"Coupon code %s is not valid.","Cupom %s não é válido."
"Coupon code %s was applied.","Cupom %s foi resgatado."
"Coupon code is empty.","Cupom em branco."
"Coupon code was canceled.","Cupom foi cancelado."
"Creating a Template is allowed only for applications which have device type iPhone.","Criando um Template que permite apenas aplicativos do tipo iPhone."
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit card number does not match credit card type.","Número do cartão de crédito não é compatível com tipo de cartão."
"Current Password","Senha Atual"
"Currently, PayPal MEP is not available for the Android application","Atualmente, PayPal MEP não está disponível para aplicações Android"
"Custom App Icon","Icone App Personalizado"
"Custom App Icon <br />(iPhone 4 retina)","Icone de App Personalizado <br />(iPhone 4 retina)"
"Custom Colors","Cores Personalizadas"
"Custom application icon","Icone do aplicativo personalizado"
"Customer authentication problem.","Problemas na autenticação de cliente."
"Customer email not specified.","Email de cliente não informado."
"Customer logout problem.","Problemas ao desconectar cliente."
"Customer not logged in.","Cliente não conectado."
"Date Created","Data de Criação"
"Date Submitted","Data de Envio"
"Date Updated","Data de Atualização"
"Default Billing Address","Endereço de Cobrança Padrão"
"Default Shipping Address","Endereço de Envio Padrão"
"Default Theme","Tema Padrão"
"Delete","Excluir"
"Deleted","Excluído"
"Description","Descrição"
"Description that appears in Android Market. %s chars maximum. ","Descrição a ser exibida em aparelhos Android. %s máximo de caracteres. "
"Description that appears in the iTunes App Store. 4000 chars maximum. ","Descrição a ser exibida no iTunes App Store. Máximo de 4.000 caracteres. "
"Deselect All","Desmarcar Todos"
"Design","Desenho"
"Device","Dispositivo"
"Device Information","Informação do Dispositivo"
"Device Type","Tipo de Dispositivo"
"Device doesn\'t recognized. Unable to load a template.","Dispositivo não reconhecido. Não foi possível carregar o template."
"Device doesn\'t recognized: ""%s"". Unable to load a helper.","Dispositivo não reconhecido: ""%s"". Não foi possível carregar ajuda."
